time;icache.misses;cpu/instructions;arith.fpu_div_active;mem_uops_retired.all_loads;mem_uops_retired.all_stores;branch_instruction_retired;Branch_Misses_Retired;mem_load_uops_retired.l1_miss;label
0.1;57000;713000000;13000;1100000;1100000;11000000;102000;427000;0
0.2;55000;715000000;8000;1100000;1100000;11000000;98000;430000;0
0.30000000000000004;61000;715000000;9000;1100000;1100000;11000000;100000;438000;0
0.4;45000;713000000;8000;1100000;1100000;11000000;94000;414000;0
0.5;51000;710000000;7000;1100000;1100000;11000000;93000;434000;0
0.6000000000000001;52000;714000000;8000;1100000;1100000;11000000;97000;420000;0
0.7000000000000001;53000;715000000;11000;1100000;1100000;11000000;98000;419000;0
0.8;57000;713000000;9000;1100000;1100000;11000000;99000;428000;0
0.9;47000;716000000;7000;1100000;1100000;11000000;93000;416000;0
1.0;54000;714000000;9000;1100000;1100000;11000000;100000;422000;0
1.1;53000;708000000;9000;1100000;1100000;11000000;95000;419000;0
1.2000000000000002;48000;714000000;7000;1100000;1100000;11000000;93000;411000;0
1.3;71000;713000000;12000;1100000;1100000;11000000;112000;447000;0
1.4000000000000001;56000;714000000;9000;1100000;1100000;11000000;101000;426000;0
1.5;58000;715000000;9000;1100000;1100000;11000000;96000;435000;0
1.6;61000;710000000;9000;1100000;1100000;11000000;98000;434000;0
1.7000000000000002;49000;713000000;9000;1100000;1100000;11000000;94000;421000;0
1.8;48000;711000000;7000;1100000;1100000;11000000;94000;413000;0
1.9000000000000001;49000;715000000;8000;1100000;1100000;11000000;95000;416000;0
2.0;58000;709000000;9000;1100000;1100000;11000000;99000;426000;0
2.1;59000;712000000;9000;1100000;1100000;11000000;98000;426000;0
2.2;58000;714000000;9000;1100000;1100000;11000000;99000;426000;0
2.3000000000000003;55000;714000000;8000;1100000;1100000;11000000;99000;423000;0
2.4000000000000004;55000;713000000;10000;1100000;1100000;11000000;102000;423000;0
2.5;56000;715000000;10000;1100000;1100000;11000000;99000;429000;0
2.6;49000;714000000;8000;1100000;1100000;11000000;96000;416000;0
2.7;52000;714000000;10000;1100000;1100000;11000000;98000;420000;0
2.8000000000000003;48000;713000000;10000;1100000;1100000;11000000;94000;416000;0
2.9000000000000004;53000;711000000;10000;1100000;1100000;11000000;101000;418000;0
3.0;54000;703000000;9000;1100000;1100000;11000000;98000;418000;0
3.1;61000;704000000;11000;1100000;1100000;11000000;98000;427000;0
3.2;63000;713000000;11000;1100000;1100000;11000000;107000;433000;0
3.3000000000000003;56000;715000000;10000;1100000;1100000;11000000;99000;424000;0
3.4000000000000004;55000;712000000;9000;1100000;1100000;11000000;99000;420000;0
3.5;54000;710000000;9000;1100000;1100000;11000000;97000;418000;0
3.6;57000;713000000;11000;1100000;1100000;11000000;101000;424000;0
3.7;57000;708000000;11000;1100000;1100000;11000000;99000;424000;0
3.8000000000000003;50000;714000000;8000;1100000;1100000;11000000;97000;420000;0
3.9000000000000004;51000;714000000;8000;1100000;1100000;11000000;96000;419000;0
4.0;50000;716000000;8000;1100000;1100000;11000000;95000;421000;0
4.1000000000000005;59000;714000000;10000;1100000;1100000;11000000;104000;427000;0
4.2;53000;711000000;9000;1100000;1100000;11000000;99000;425000;0
4.3;59000;714000000;8000;1100000;1100000;11000000;100000;433000;0
4.4;62000;714000000;10000;1100000;1100000;11000000;103000;438000;0
4.5;56000;709000000;11000;1100000;1100000;11000000;100000;429000;0
4.6000000000000005;55000;712000000;9000;1100000;1100000;11000000;97000;423000;0
4.7;55000;713000000;9000;1100000;1100000;11000000;100000;426000;0
4.800000000000001;58000;714000000;9000;1100000;1100000;11000000;102000;434000;0
4.9;63000;714000000;11000;1100000;1100000;11000000;103000;437000;0
5.0;59000;714000000;11000;1100000;1100000;11000000;99000;433000;0
5.1000000000000005;60000;715000000;10000;1100000;1100000;11000000;102000;436000;0
5.2;65000;714000000;10000;1100000;1100000;11000000;100000;442000;0
5.300000000000001;63000;715000000;9000;1100000;1100000;11000000;98000;432000;0
5.4;60000;713000000;9000;1100000;1100000;11000000;100000;434000;0
5.5;52000;707000000;9000;1100000;1100000;11000000;93000;423000;0
5.6000000000000005;57000;714000000;9000;1100000;1100000;11000000;95000;429000;0
5.7;63000;713000000;10000;1100000;1100000;11000000;98000;431000;0
5.800000000000001;66000;708000000;11000;1100000;1100000;11000000;101000;442000;0
5.9;65000;714000000;11000;1100000;1100000;11000000;104000;444000;0
6.0;60000;715000000;10000;1100000;1100000;11000000;101000;432000;0
6.1000000000000005;55000;714000000;9000;1100000;1100000;11000000;98000;431000;0
6.2;58000;714000000;9000;1100000;1100000;11000000;99000;430000;0
6.300000000000001;61000;715000000;9000;1100000;1100000;11000000;101000;431000;0
6.4;53000;714000000;8000;1100000;1100000;11000000;96000;423000;0
6.5;42000;708000000;7000;1100000;1100000;11000000;90000;405000;0
6.6000000000000005;41000;715000000;6000;1100000;1100000;11000000;89000;410000;0
6.7;42000;715000000;8000;1100000;1100000;11000000;92000;411000;0
6.800000000000001;49000;715000000;9000;1100000;1100000;11000000;94000;420000;0
6.9;47000;714000000;9000;1100000;1100000;11000000;92000;415000;0
7.0;60000;714000000;9000;1100000;1100000;11000000;102000;434000;0
7.1000000000000005;82000;712000000;15000;1100000;1100000;11000000;116000;464000;0
7.2;59000;715000000;9000;1100000;1100000;11000000;100000;433000;0
7.300000000000001;54000;715000000;8000;1100000;1100000;11000000;94000;429000;0
7.4;58000;714000000;10000;1100000;1100000;11000000;100000;435000;0
